query_id,问题,答案,来源,chunk_id,相似度,命中
1,北京有哪些数据分析岗位？,数据分析，地点：安徽，学历：专科及以上，经验：应届/校招岗位，薪资：7.0千/月,PR4nqYKhqbB71B2ip7kwNu | 数据分析 | 国家大学生就业服务平台,job_408_chunk_0,0.471,1
1,北京有哪些数据分析岗位？,飞机资产数据分析岗，地点：广东，学历：本科及以上，经验：应届/校招岗位，薪资：7.5千/月,4Fp4HvL2iqC9UoHKUTfp6K | 飞机资产数据分析岗 | 国家大学生就业服务平台,job_420_chunk_0,0.393,
1,北京有哪些数据分析岗位？,数据分析，地点：全国，学历：本科及以上，经验：应届/校招岗位，薪资：11.5千/月,FtuGTvdozdgYhtghuHb3Tc | 数据分析 | 国家大学生就业服务平台,job_418_chunk_0,0.3765,
2,学历要求为本科的Java开发岗位有哪些？,JAVA 开发工程师，地点：天津，学历：本科及以上，经验：应届/校招岗位，薪资：4.0千/月,PGKzQUptDiM9TeSx9Ffu69 | JAVA 开发工程师 | 国家大学生就业服务平台,job_24_chunk_0,0.2747,1
2,学历要求为本科的Java开发岗位有哪些？,Java 工程师（AI 方向）岗位描述，地点：北京，学历：本科及以上，经验：应届/校招岗位，薪资：7.5千/月,FvnJF8LdwD9CkHKHipxa3U | Java 工程师（AI 方向）岗位描述 | 国家大学生就业服务平台,job_47_chunk_0,0.2487,
2,学历要求为本科的Java开发岗位有哪些？,资深全栈工程师 Java Python 数据采集/AI集成，地点：广东，学历：专科及以上，经验：应届/校招岗位，薪资：13.5千/月,R8tumxQ6MfHd4hhAGtbj7w | 资深全栈工程师 Java Python 数据采集/AI集成 | 国家大学生就业服务平台,job_27_chunk_0,0.2027,
3,上海地区的人工智能岗位有哪些？,人工智能（丽水），地点：浙江，学历：专科及以上，经验：应届/校招岗位，薪资：3.5千/月,THP7Pnz61DyK34vXWwoobR | 人工智能（丽水） | 国家大学生就业服务平台,job_472_chunk_0,0.474,1
3,上海地区的人工智能岗位有哪些？,人工智能（乌镇），地点：浙江，学历：专科及以上，经验：应届/校招岗位，薪资：3.25千/月,NPXy9KwcFzUjjP52Vh6VuN | 人工智能（乌镇） | 国家大学生就业服务平台,job_474_chunk_0,0.474,
3,上海地区的人工智能岗位有哪些？,人工智能与数学研究人员，地点：浙江，学历：硕士及以上，经验：应届/校招岗位，薪资：25.0千/月,EMfzzXwvnPbD4eykAXAe1E | 人工智能与数学研究人员 | 国家大学生就业服务平台,job_481_chunk_0,0.4731,
4,有哪些岗位要求Python技能？,资深全栈工程师 Java Python 数据采集/AI集成，地点：广东，学历：专科及以上，经验：应届/校招岗位，薪资：13.5千/月,R8tumxQ6MfHd4hhAGtbj7w | 资深全栈工程师 Java Python 数据采集/AI集成 | 国家大学生就业服务平台,job_27_chunk_0,0.2706,1
